ITEMID,LABEL,ABBREVIATION,LINKSTO,UNITNAME,count_total,count_valuenum_notnull,valueuom_mode
211,Heart Rate,,chartevents,,5180809,5179363,BPM
220045,Heart Rate,HR,chartevents,bpm,2762225,2762225,bpm
5815,HR Alarm [Low],,chartevents,,1807316,1804455,BPM
8549,HR Alarm [High],,chartevents,,1804988,1804988,BPM
3450,HR Alarm [Low],,chartevents,,1687886,1687654,bpm
8518,HR Alarm [High],,chartevents,,1687615,1687615,bpm
220047,Heart Rate Alarm - Low,HR Alarm - Low,chartevents,bpm,216033,216033,bpm
220046,Heart rate Alarm - High,HR Alarm - High,chartevents,bpm,215876,215876,bpm
3494,Lowest Heart Rate,,chartevents,,67072,66495,cc/min
611,Replace Rate ml/hr,,chartevents,,58964,58871,ml/hr
146,Dialysate Flow ml/hr,,chartevents,,55866,55796,ml/hr
493,PCA 1 Hr Limit (mg),,chartevents,,38879,33254,
3488,Lipid Change Q 12 hr,,chartevents,,8521,0,
224366,Epidural Infusion Rate (mL/hr),Epidural Infusion Rate (mL/hr),chartevents,ml/hr,7891,7891,ml/hr
6541,methadone mg /hr,,chartevents,,563,563,
227858,Rest HR - Aerobic Capacity,Rest HR - Aerobic Capacity,chartevents,None,369,369,
1586,Xigris mcg/kg/hr,,chartevents,,360,359,
481,Orthostat HR sitting,,chartevents,,351,284,BPM
485,Orthostatic HR lying,,chartevents,,312,256,BPM
227870,Recovery HR - Aerobic Capacity,Recovery HR - Aerobic Capacity,chartevents,None,303,303,
227864,Activity HR - Aerobic Capacity,Activity HR - Aerobic Capacity,chartevents,None,289,289,
1853,protonix mg/hr,,chartevents,,281,280,
5556,TPA mg/hr,,chartevents,,270,267,
2164,NIMBEX MG/KG/HR,,chartevents,,243,243,
1097,Pantoprazole  mg/hr,,chartevents,,233,233,
1331,Protonix mg/hr,,chartevents,,231,230,
2460,CARIPORIDE ML/HR,,chartevents,,221,221,
1876,PROTONIX MG/HR,,chartevents,,208,208,
5790,Cyclosporine mg/hr,,chartevents,,206,205,
2755,XIGRIS CC/HR,,chartevents,,181,181,
223765,Orthostatic HR sitting,Orthostatic HR sitting,chartevents,bpm,180,180,bpm
2622,CA GLUC GM/HR,,chartevents,,177,177,
227916,Rest HR -  Aerobic Activity Response,Rest HR -  Aerobic Activity Response,chartevents,None,177,177,
2517,Cisatracu mg/kg/hr,,chartevents,,173,173,
2498,CARIPORIDE CC/HR,,chartevents,,169,169,
