ITEMID,LABEL,ABBREVIATION,LINKSTO,UNITNAME,count_total,count_valuenum_notnull,valueuom_mode
829,Potassium (3.5-5.3),,chartevents,,326112,321644,
1535,Potassium,,chartevents,,246969,242648,
227442,Potassium (serum),Potassium (serum),chartevents,None,165813,165813,mEq/L
227464,Potassium (whole blood),Potassium (whole blood),chartevents,None,49112,49112,mEq/L
3792,Potassium  (3.5-5.3),,chartevents,,15816,15786,
3578,Potassium Chloride,,chartevents,,11981,0,
3685,Vitamin K,,chartevents,,9694,0,
4365,k phosphorus,,chartevents,,121,0,
3725,ABG POTASSIUM,,chartevents,,114,114,
4194,ABG Potassium,,chartevents,,109,109,
5080,K phos,,chartevents,,100,0,
5221,DOPA mcg/k/min,,chartevents,,88,87,
2413,CISATRICURI MCG/K/MI,,chartevents,,83,83,
2502,cisatricurium mg/k/h,,chartevents,,78,78,
2462,cisatacurium mcg/k/m,,chartevents,,76,76,
2106,study drug/24mcg/k/h,,chartevents,,76,74,
5195,potassium phosphorus,,chartevents,,48,7,
2567,K Phosphate,,chartevents,,42,3,
2093,Nicardipine mcg/k/mn,,chartevents,,39,39,
1821,potassium phosphate,,chartevents,,28,7,
2962,fenoldopam mcg/k/min,,chartevents,,26,26,
4381,Potassium Phosphate,,chartevents,,26,0,
5167,potassium Phosphate,,chartevents,,23,0,
2283,PRECEDEX MG/K/HR,,chartevents,,21,21,
226771,PotassiumApacheIIScore,PotassiumApacheIIScore,chartevents,None,19,19,
226772,PotassiumApacheIIValue,PotassiumApacheIIValue,chartevents,None,17,17,
2330,CISATRACUR MCG/K/MIN,,chartevents,,15,14,
4720,K Phos,,chartevents,,14,0,
4486,k phosphate,,chartevents,,11,0,
2879,Prostaglandin m/k/mn,,chartevents,,6,6,
2497,cisatricurium/mc/k/m,,chartevents,,2,2,
2691,URINE POTASSIUM,,chartevents,,1,1,
2856,Potassium phosphate,,chartevents,,1,1,
220640,ZPotassium (serum),ZPotassium (serum),chartevents,None,0,0,
226535,ZPotassium (whole blood),ZPotassium (whole blood),chartevents,None,0,0,
