ITEMID,LABEL,ABBREVIATION,LINKSTO,UNITNAME,count_total,count_valuenum_notnull,valueuom_mode
707,Urine Source,,chartevents,,937064,0,
706,Urine [Color],,chartevents,,727719,0,
8480,Urine [Appearance],,chartevents,,719203,0,
224015,Urine Source,Urine Source,chartevents,,407581,0,
224016,Urine Color,Urine Color,chartevents,,376384,0,
224876,Urine Appearance,Urine Appearance,chartevents,,353425,0,
227471,Specific Gravity (urine),Specific Gravity (urine),chartevents,None,17199,17199,
1880,Urine pH,,chartevents,,1956,1617,kg
3822,Urine Protein,,chartevents,,1890,0,
3817,Urine Heme,,chartevents,,1821,25,
3816,Urine Glucose,,chartevents,,1774,58,
3819,Urine Leukocytes,,chartevents,,1584,31,
3818,Urine Ketones,,chartevents,,1539,28,
1495,urine ph,,chartevents,,82,80,
1352,urine pH,,chartevents,,36,36,
6754,urine PH,,chartevents,,15,15,
7292,Urine source #2,,chartevents,,12,0,
2226,URINE OSMO,,chartevents,,10,7,
941,urine culture,,chartevents,,9,0,
227519,Urine output_ApacheIV,Urine output,chartevents,None,8,8,
4855,Urine culture,,chartevents,,8,0,
7262,Urine PH,,chartevents,,3,3,
2225,URINE NA,,chartevents,,3,2,
5898,urine na,,chartevents,,2,2,
6204,urine for CMV,,chartevents,,2,0,
1011,urine osmolarity,,chartevents,,1,1,
3140,Urine Cl-,,chartevents,,1,1,
1917,Urine Na+,,chartevents,,1,1,
1918,Urine Osm,,chartevents,,1,1,
1919,Urine creat,,chartevents,,1,1,
2224,URINE CREAT,,chartevents,,1,1,
2688,URINE CL.,,chartevents,,1,1,
2690,URINE OSM,,chartevents,,1,1,
2691,URINE POTASSIUM,,chartevents,,1,1,
2692,URINE SODIUM,,chartevents,,1,1,
5810,urine calcium,,chartevents,,1,0,
5811,urine creatinine,,chartevents,,1,0,
5812,Urine lytes,,chartevents,,1,0,
6226,urine for AA,,chartevents,,1,0,
6304,urine cath,,chartevents,,1,0,
220799,ZSpecific Gravity (urine),ZSpecific gravity (urine),chartevents,None,0,0,
