ITEMID,samples_collected,distinct_uoms_in_samples,nonnull_uom_count
493,10,,0
3488,10,,0
6541,10,,0
227858,10,,0
1586,10,,0
227870,10,,0
227864,10,,0
1853,10,,0
5556,10,,0
2164,10,,0
1097,10,,0
1331,10,,0
2460,10,,0
1876,10,,0
5790,10,,0
2755,10,,0
2622,10,,0
227916,10,,0
2517,10,,0
2498,10,,0
3001,10,,0
2287,10,,0
3192,10,,0
2593,10,,0
3277,10,,0
1226,10,,0
2757,10,,0
6806,10,,0
7743,10,,0
1587,10,,0
2166,10,,0
2478,10,,0
7132,10,,0
2509,10,,0
227923,10,,0
2809,10,,0
227930,10,,0
3269,10,,0
2355,10,,0
2548,10,,0
3257,10,,0
2161,10,,0
2655,10,,0
2876,10,,0
7107,10,,0
7998,10,,0
2373,10,,0
2344,10,,0
2101,10,,0
2804,10,,0
2806,10,,0
2694,10,,0
2418,10,,0
1949,10,,0
3281,10,,0
6964,10,,0
5588,10,,0
7822,10,,0
8289,10,,0
2605,10,,0
7928,10,,0
2301,10,,0
2959,10,,0
3044,10,,0
6651,10,,0
2960,10,,0
1715,10,,0
2656,10,,0
6930,10,,0
5587,10,,0
2983,10,,0
2487,10,,0
2672,10,,0
2874,10,,0
2467,10,,0
7757,10,,0
2547,10,,0
5892,10,,0
7654,10,,0
8025,10,,0
6616,10,,0
2188,10,,0
2468,10,,0
2482,10,,0
1605,10,,0
2577,10,,0
8169,10,,0
2764,10,,0
2283,10,,0
2667,10,,0
7272,10,,0
6573,10,,0
2334,10,,0
3147,10,,0
3148,10,,0
5728,10,,0
2464,10,,0
7112,10,,0
8285,10,,0
1597,10,,0
2556,10,,0
2947,10,,0
2390,10,,0
8262,10,,0
3134,10,,0
964,10,,0
2573,10,,0
7425,10,,0
6741,10,,0
1106,10,,0
1819,10,,0
1485,10,,0
2679,10,,0
2349,10,,0
1677,10,,0
2141,10,,0
2861,10,,0
7245,10,,0
6846,10,,0
1826,9,,0
7221,9,,0
5783,8,,0
2274,8,,0
2296,8,,0
2628,8,,0
2869,7,,0
2946,7,,0
7341,7,,0
3005,7,,0
1717,6,,0
6635,6,,0
3270,6,,0
6423,6,,0
2661,5,,0
2481,4,,0
6352,4,,0
6429,4,,0
2705,4,,0
2706,4,,0
2461,3,,0
3010,3,,0
2989,2,,0
7158,2,,0
7435,2,,0
6969,2,,0
2684,2,,0
6294,2,,0
1888,1,,0
2561,1,,0
7439,1,,0
7958,1,,0
7809,1,,0
7863,0,,0
7865,0,,0
3099,0,,0
1970,0,,0
2297,0,,0
224721,0,,0
224748,0,,0
