code,name
A01A,口腔疾病药物
A02A,治酸药
A02B,消化道溃疡和胃食管返流病治疗药物
A02X,治疗与胃酸分泌相关疾病的其它药物
A03A,治疗功能性胃肠疾病的药物
A03B,颠茄与其衍生物
A03C,复方中有安定药的解痉药
A03D,复方中有镇痛药的其它解痉药
A03E,复方中有其它药物的解痉药和抗胆碱能药
A03F,胃肠动力药
A04A,镇吐药和止呕药
A05A,胆病治疗药
A05B,肝病治疗药，抗脂肪肝药
A05C,胆病治疗药和抗脂肪肝药的复方
A06A,轻泻药
A07A,肠道抗感染药
A07B,肠道吸附药
A07C,配有碳水化合物的电解质
A07D,抗胃肠动力药
A07E,肠道抗炎药
A07F,止泻的微生物
A07X,其它止泻药
A08A,减肥药，食品除外
A09A,消化药，含酶
A10A,胰岛素与其同系物
A10B,非胰岛素类降血糖药
A10X,糖尿病用其它药
A11A,多种维生素，复方
A11B,多种维生素，单方
A11C,维生素A和维生素D，含两者的复方
A11D,维生素B1单方与其与维生素B6和B12的复方
A11E,复合维生素B，含复方
A11G,抗坏血酸（维生素C），含其复方
A11H,其它单方维生素制剂
A11J,其它维生素药品，复方
A12A,钙
A12B,钾
A12C,其它矿物质补充剂
A13A,滋补药
A14A,同化甾体激素类
A14B,其它同化剂
A16A,其它消化道和代谢药物
B01A,抗血栓形成药
B02A,抗纤维蛋白溶酶药
B02B,维生素K和其它止血药
B03A,铁制剂
B03B,维生素B12和叶酸
B03X,其它抗贫血药
B05A,血液与相关药品
B05B,静脉注射液
B05C,灌注液
B05D,腹膜透析
B05X,静脉注射液添加药物
B05Z,血液透析和血液过滤
B06A,其它血液系统用药
C01A,强心苷类
C01B,抗心律失常药，Ⅰ类和Ⅲ类
C01C,非强心苷类心脏刺激药
C01D,治疗心脏病用血管舒张药
C01E,其它治疗心脏病药
C02A,起中心作用的抗肾上腺素能药
C02B,起神经节阻滞作用的抗肾上腺素能药
C02C,外周作用的抗肾上腺素能药
C02D,作用于小动脉平滑肌的药物
C02K,其他抗高血压药
C02L,抗高血压药和利尿剂的复方
C02N,抗高血压药的复方
C03A,低限量利尿剂，噻嗪类
C03B,非噻嗪类低限量利尿剂
C03C,高限量利尿剂
C03D,醛固酮拮抗剂和其他保钾剂
C03E,利尿剂和保钾药的复方
C03X,其它利尿剂
C04A,外周血管扩张剂
C05A,治疗痔疮和肛裂的外用药
C05B,抗静脉曲张药
C05C,毛细血管稳定药
C07A,β-受体阻断药
C07B,β-受体阻断药和噻嗪类利尿剂的复方
C07C,β-受体阻断药和其它利尿剂的复方
C07D,β-受体阻断药、噻嗪类利尿剂和其它利尿剂的复方
C07E,β-受体阻断药和血管舒张药
C07F,β阻断剂，与其他药物的复方
C08C,主要对血管产生影响的选择性钙通道阻滞剂
C08D,直接对心脏产生影响的选择性钙通道阻滞剂
C08E,非选择性钙通道阻滞剂
C08G,钙通道阻滞剂和利尿剂
C09A,血管紧张素转化酶抑制药，单方
C09B,血管紧张素转化酶抑制药，复方
C09C,血管紧张素II拮抗药，单方
C09D,血管紧张素II拮抗药，复方
C09X,作用于肾素-血管紧张素系统的其它药物
C10A,血脂调节剂，单方
C10B,血脂调节剂，复方
D01A,局部用抗真菌药
D01B,系统用抗真菌药
D02A,润肤药和护肤药
D02B,紫外线防护药
D03A,结瘢药
D03B,酶类
D04A,止痒药，含抗组胺药、麻醉药等
D05A,局部用治疗牛皮癣药
D05B,系统用治疗牛皮癣药
D06A,局部用抗生素
D06B,局部用化疗药
D06C,抗生素和化疗药，复方
D07A,皮质类固醇，单方
D07B,皮质类固醇，与灭菌药的复方
D07C,皮质类固醇，与抗生素的复方
D07X,皮质类固醇，与其它药物的复方
D08A,消毒灭菌药
D09A,医用敷料
D10A,局部用抗痤疮药
D10B,系统用抗痤疮药
D11A,其它治疗皮肤病药物
G01A,抗感染药和灭菌药，与皮质类固醇的复方除外
G01B,抗感染药/灭菌药与皮质类固醇的复方
G02A,催产素类
G02B,局部用避孕药、避孕用具
G02C,其它妇科用药
G03A,系统用激素类避孕药
G03B,雄激素类
G03C,雌激素类
G03D,孕激素类
G03E,雄激素与雌性激素的复方
G03F,孕激素和雌激素的复方
G03G,促性腺激素和其它促排卵药物
